Date,Link,OptionText
2026-05-19 21:44:02,https://www.linkedin.com/feed/update/urn:li:groupPost:39683-7462173659130990593,Clear decisions
2024-07-27 21:41:46,https://www.linkedin.com/feed/update/urn:li:groupPost:101362-7222912838493773824,110
2023-08-05 03:52:33,https://www.linkedin.com/feed/update/urn:li:groupPost:101362-7092509981157031938,Kiwi CatTools
2023-04-23 02:52:32,https://www.linkedin.com/feed/update/urn:li:groupPost:101362-7055257791447371777,Yes
2023-04-17 21:20:48,https://www.linkedin.com/feed/update/urn:li:groupPost:59169-7053801921731600384,Yes
2023-03-29 11:33:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7046785196712488960,Hybrid Work 🏠🏢
2022-12-27 13:42:43,https://www.linkedin.com/feed/update/urn:li:groupPost:2784738-7013407856502677504,It depends on the lens we use.
2022-12-21 22:59:48,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-7011345013074780160,Work from home
2022-12-20 02:15:19,https://www.linkedin.com/feed/update/urn:li:groupPost:101362-7010141768335667200,GNS3
2022-09-13 17:45:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6975491998770212865,"Remote, but go in when needed"
2022-09-09 23:54:24,https://www.linkedin.com/feed/update/urn:li:groupPost:3926212-6973810800780075008,Being “Connected”
2022-09-07 17:27:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:6973308763822833664,❌ No
